Date,Cases,cases_per_100k,Rt,surge,surge_prob
2025-03-10,155,3.025157600952437,0.8086242594148753,0,5.9231023963827415e-09
2025-03-17,175,3.415500517204364,0.8128948124822759,0,7.479522193052774e-09
2025-03-24,191,3.7277748502059054,0.8774516677412414,0,1.5122262281086698e-07
2025-03-31,217,4.235220641333411,1.0697916880861058,0,0.0010529612822086872
2025-04-07,243,4.742666432460917,1.07167406637072,0,0.0020624719705643843
2025-04-14,271,5.2891465152136155,1.0734328570164506,0,0.0041169451412883425
2025-04-21,307,5.991763764467085,1.0788523748446348,0,0.00512779732785476
2025-04-28,346,6.752932451158343,1.0802231444871646,0,0.005588145712974549
2025-05-05,398,7.767824033413353,1.086474554393878,0,0.007601605006836364
2025-05-12,462,9.016921365419522,1.0951893922847473,0,0.011546510508039466
2025-05-19,542,10.578293030427231,1.1045003900975567,1,0.017985678578504923
2025-05-26,642,12.530007611686868,1.1155521842659348,1,0.03013704731851388
2025-06-02,738,14.403653609696118,1.118707257099402,1,0.03539599100862998
2025-06-09,851,16.609091086519506,1.1174848495536172,1,0.034210862957583826
2025-06-16,1020,19.907488728848293,1.1202720342025105,1,0.03941529633856338
2025-06-23,1251,24.415949411558053,1.1309716744936953,1,0.06381625867942997
2025-06-30,1527,29.80268165583465,1.1476681973688665,1,0.12927633743994033
2025-07-07,1813,35.38458535823722,1.1554492784501926,1,0.1765686003055609
2025-07-14,2076,40.51759470695006,1.1456710020638208,1,0.12138275115657017
2025-07-21,2367,46.1970841384156,1.1283080200368296,1,0.05880094640016485
2025-07-28,2638,51.486230653629214,1.109813965656349,1,0.02577829514227687
2025-08-04,2912,56.83392860628062,1.0955368928093512,1,0.013256870277079665
2025-08-11,3187,62.20114370474462,1.0854572860159293,1,0.008134651684351629
2025-08-18,3417,66.69008724164179,1.0738638820027855,1,0.004629710267925812
2025-08-25,3650,71.23758221597673,1.0645554128116708,1,0.0029104943596089134
2025-09-01,3843,75.00439135780783,1.0548873655301771,1,0.0017877985385424133
2025-09-08,4021,78.47844331244998,1.0461471186884923,1,0.0011433618630971429
2025-09-15,4182,81.620703788278,1.0395910011489449,1,0.0008046251335852137
2025-09-22,4286,83.65048695278801,1.031977125739541,1,0.0005385018224201356
2025-09-29,4377,85.4265472217343,1.02546583997088,1,0.00037937806697764943
2025-10-06,4447,86.79274742861604,1.0193580393576989,1,0.0002722253818307752
2025-10-13,4495,87.72957042762066,1.0141727252677817,1,0.00020423485319096872
2025-10-20,4563,89.05673634287722,1.0118646896906167,1,0.00017523736304041993
2025-10-27,4610,89.97404219606925,1.0101094442959637,1,0.00015480862419439798
2025-11-03,4647,90.69617659113531,1.0088376119615292,1,0.00014047936315767198
2025-11-10,4682,91.37927669457619,1.0077819599656297,1,0.00012899922383252134
2025-11-17,4713,91.98430821476667,1.0062509727218654,1,0.00011631708626949233
2025-11-24,4720,92.12092823545484,1.0047727458803082,1,0.00010507502644778315
2025-12-01,4736,92.4332025684564,1.0035836412539911,1,9.632300207463652e-05
2025-12-08,4743,92.56982258914456,1.0023935147097196,1,8.860541919011503e-05
2025-12-15,4749,92.68692546402013,1.0015620210863587,1,8.306798579731495e-05
2025-12-22,4751,92.72595975564533,1.0012315300022345,1,7.985325955196577e-05
