Date_start,Date_reported,Biweek_label,Biweek_index,Country,Country_code,WHO_region,New_cases,New_deaths,Cumulative_cases,Cumulative_deaths,Year,Week_num,flag_incomplete_biweek
2020-08-16,2020-08-23,2020-08-16 to 2020-08-23,17,Australia,AU,WPRO,3904,252,24602,627,2020,34,0
2020-08-30,2020-09-06,2020-08-30 to 2020-09-06,18,Australia,AU,WPRO,1605,155,26207,782,2020,36,0
2020-09-13,2020-09-20,2020-09-13 to 2020-09-20,19,Australia,AU,WPRO,678,82,26885,864,2020,38,0
2020-09-27,2020-10-04,2020-09-27 to 2020-10-04,20,Australia,AU,WPRO,236,42,27121,906,2020,40,0
2020-10-11,2020-10-18,2020-10-11 to 2020-10-18,21,Australia,AU,WPRO,262,6,27383,912,2020,42,0
2020-10-25,2020-11-01,2020-10-25 to 2020-11-01,22,Australia,AU,WPRO,207,2,27590,914,2020,44,0
2020-11-08,2020-11-15,2020-11-08 to 2020-11-15,23,Australia,AU,WPRO,121,3,27711,917,2020,46,0
2020-11-22,2020-11-29,2020-11-22 to 2020-11-29,24,Australia,AU,WPRO,174,1,27885,918,2020,48,0
2020-12-06,2020-12-13,2020-12-06 to 2020-12-13,25,Australia,AU,WPRO,140,1,28025,919,2020,50,0
2020-12-20,2020-12-27,2020-12-20 to 2020-12-27,26,Australia,AU,WPRO,271,1,28296,920,2020,52,0
2021-01-03,2021-01-10,2021-01-03 to 2021-01-10,27,Australia,AU,WPRO,299,2,28595,922,2021,1,0
2021-01-17,2021-01-24,2021-01-17 to 2021-01-24,28,Australia,AU,WPRO,171,1,28766,923,2021,3,0
2021-01-31,2021-02-07,2021-01-31 to 2021-02-07,29,Australia,AU,WPRO,84,0,28850,923,2021,5,0
2021-02-14,2021-02-21,2021-02-14 to 2021-02-21,30,Australia,AU,WPRO,76,1,28926,924,2021,7,0
2021-02-28,2021-03-07,2021-02-28 to 2021-03-07,31,Australia,AU,WPRO,111,0,29037,924,2021,9,0
2021-03-14,2021-03-21,2021-03-14 to 2021-03-21,32,Australia,AU,WPRO,159,1,29196,925,2021,11,0
2021-03-28,2021-04-04,2021-03-28 to 2021-04-04,33,Australia,AU,WPRO,152,1,29348,926,2021,13,0
2021-04-11,2021-04-18,2021-04-11 to 2021-04-18,34,Australia,AU,WPRO,171,2,29519,928,2021,15,0
2021-04-25,2021-05-02,2021-04-25 to 2021-05-02,35,Australia,AU,WPRO,307,0,29826,928,2021,17,0
