Date,Cases,lag_1,lag_2,lag_3,lag_4,roll4_mean,roll4_std,roll8_mean,growth_1w,growth_4w,zscore,week_sin,week_cos,Disease,Rt,surge,surge_onset
2022-04-24,289282,306184.0,359765.0,395982.0,385762.0,337803.25,49061.77767790994,312722.5,0.9447978993023802,0.7498976052592012,-0.4777751869059177,0.9350162426854148,-0.35460488704253545,COVID-19,0.9366593254683357,0,0
2022-05-01,272054,289282.0,306184.0,359765.0,395982.0,306821.25,37946.60158147667,322264.625,0.9404456551047076,0.6870362794268426,-1.3231916142000424,0.8854560256532099,-0.4647231720437685,COVID-19,0.926706274532563,0,0
2022-05-08,304061,272054.0,289282.0,306184.0,359765.0,292895.25,15797.4483883736,330041.25,1.1176494372440766,0.8451655942073298,-1.6445852115662303,0.8229838658936565,-0.5680647467311557,COVID-19,0.9649095628771855,0,0
2022-05-15,350375,304061.0,272054.0,289282.0,306184.0,303943.0,33604.55222138801,332933.125,1.152318120377161,1.144328247067123,0.519033102571708,0.7485107481711013,-0.663122658240795,COVID-19,1.0254181706317786,0,0
2022-05-22,311716,350375.0,304061.0,272054.0,289282.0,309551.5,32184.112586802734,323677.375,0.8896639315019622,1.0775506253413625,-0.3716546469236758,0.6631226582407952,-0.7485107481711012,COVID-19,1.0321209091243193,0,0
2022-05-29,240429,311716.0,350375.0,304061.0,272054.0,301645.25,45567.80169063086,304233.25,0.771307857152023,0.8837546957589302,-1.400204697895679,0.5680647467311558,-0.8229838658936564,COVID-19,0.982686272797817,0,0
2022-06-05,199964,240429.0,311716.0,350375.0,304061.0,275621.0,67954.56338368058,284258.125,0.8316966755258309,0.6576443542578627,-1.2404483349273259,0.46472317204376906,-0.8854560256532096,COVID-19,0.9089682189339369,0,0
2022-06-12,184472,199964.0,240429.0,311716.0,350375.0,234145.25,56840.409295822814,269044.125,0.9225260546898442,0.5264987513378523,-1.4878873331092495,0.35460488704253584,-0.9350162426854147,COVID-19,0.8731134448648629,0,0
2022-06-19,191043,184472.0,199964.0,240429.0,311716.0,203977.0,25116.9654085307,256764.25,1.035620581985342,0.6128751812547318,-2.616607895541334,0.23931566428755768,-0.970941817426052,COVID-19,0.9068742490103522,0,0
2022-06-26,204308,191043.0,184472.0,199964.0,240429.0,194946.75,8902.536169541492,248296.0,1.0694346299000748,0.8497643795049682,-4.941063890366144,0.12053668025532308,-0.992708874098054,COVID-19,0.9712532528381232,0,0
2022-07-03,0,204308.0,191043.0,184472.0,199964.0,144955.75,96988.70667033007,210288.375,0.0,0.0,-2.1681738237296195,-3.216245299353273e-16,-1.0,COVID-19,0.15030814698396527,0,0
2022-07-10,243697,0.0,204308.0,191043.0,184472.0,159762.0,108829.87939287015,196953.625,,1.3210514332798473,0.4295086538804189,-0.12053668025532283,-0.992708874098054,COVID-19,0.4048626075562977,0,0
2022-07-17,271605,243697.0,0.0,204308.0,191043.0,179902.5,123071.28648741209,191939.75,1.1145192595723379,1.4216956392016458,0.6473098012845447,-0.23931566428755743,-0.9709418174260521,COVID-19,1.0715887467032572,0,0
2022-07-24,303029,271605.0,243697.0,0.0,204308.0,204582.75,138525.1749499587,199764.75,1.1156974282505845,1.4831969379564187,0.7454547524470085,-0.3546048870425356,-0.9350162426854148,COVID-19,2.822296640330925,0,0
2022-07-31,319779,303029.0,271605.0,243697.0,0.0,284527.5,33759.41592602961,214741.625,1.055275237683522,,3.111350481600387,-0.46472317204376806,-0.8854560256532101,COVID-19,7.344783491693908,0,0
2022-08-07,259334,319779.0,303029.0,271605.0,243697.0,288436.75,27842.103971922243,224099.375,0.8109788322560268,1.0641657468085368,1.2655158904489707,-0.5680647467311556,-0.8229838658936565,COVID-19,1.0228594224861312,0,0
2022-08-14,200397,259334.0,319779.0,303029.0,271605.0,270634.75,53309.13998165163,225268.625,0.7727370880794651,0.737825150494284,-0.46655460974535545,-0.663122658240795,-0.7485107481711013,COVID-19,0.9417520298663073,0,0
2022-08-21,139178,200397.0,259334.0,319779.0,303029.0,229672.0,77557.06577310237,217127.375,0.6945113948811609,0.45928937494431227,-1.005058329927609,-0.7485107481711011,-0.6631226582407952,COVID-19,0.8530075261909607,0,0
2022-08-28,103184,139178.0,200397.0,259334.0,319779.0,175523.25,68791.68928184563,230025.375,0.7413815401859489,0.3226728459342233,-1.8438473647640732,-0.8229838658936564,-0.5680647467311559,COVID-19,0.7972033264886523,0,0
2022-09-04,79985,103184.0,139178.0,200397.0,259334.0,130686.0,52468.05056412897,209561.375,0.7751686307954722,0.3084246570060231,-2.4696243448501205,-0.8854560256532096,-0.4647231720437691,COVID-19,0.7889939943003552,0,0
2022-09-11,63392,79985.0,103184.0,139178.0,200397.0,96434.75,32837.75976296183,183534.75,0.7925486028630369,0.31633208081957315,-3.658676805824942,-0.9350162426854147,-0.3546048870425359,COVID-19,0.7990072028983154,0,0
2022-09-18,51273,63392.0,79985.0,103184.0,139178.0,74458.5,22477.628767287595,152065.25,0.8088244573447754,0.368398741180359,-4.484114007020445,-0.970941817426052,-0.23931566428755774,COVID-19,0.8226726570014168,0,0
2022-09-25,43401,51273.0,63392.0,79985.0,103184.0,59512.75,15933.649600243138,117518.0,0.8464689017611609,0.42061753760272913,-4.65160222921364,-0.992708874098054,-0.12053668025532357,COVID-19,0.842799050236834,0,0
2022-10-02,37578,43401.0,51273.0,63392.0,79985.0,48911.0,11166.548168525263,89798.5,0.8658325845026612,0.46981308995436644,-4.676512312658265,-1.0,-1.8369701987210297e-16,COVID-19,0.8620230085397478,0,0
2022-10-09,38674,37578.0,43401.0,51273.0,63392.0,42731.5,6229.695578436794,69583.125,1.0291660013837884,0.6100769813225644,-4.9615787177446595,-0.992708874098054,0.1205366802553232,COVID-19,0.9029673501404866,0,0
2022-10-16,31327,38674.0,37578.0,43401.0,51273.0,37745.0,4968.970047537848,56101.75,0.8100274085949216,0.6109843387357868,-4.985892400835868,-0.9709418174260521,0.23931566428755738,COVID-19,0.9171538447985909,0,0
2022-10-23,29620,31327.0,38674.0,37578.0,43401.0,34299.75,4495.119158598016,46906.25,0.945510262712676,0.6824727540840073,-3.845559903998499,-0.9350162426854148,0.35460488704253557,COVID-19,0.9283682848571964,0,0
2022-10-30,30363,29620.0,31327.0,38674.0,37578.0,32496.0,4177.5315678035195,40703.5,1.02508440243079,0.8079993613284369,-2.47526555626649,-0.8854560256532101,0.464723172043768,COVID-19,0.9469995182838661,0,0
2022-11-06,35763,30363.0,29620.0,31327.0,38674.0,31768.25,2753.327365811822,37249.875,1.1778480387313506,0.9247297926255366,-0.5400284101565936,-0.822983865893657,0.5680647467311548,COVID-19,0.9853558879170697,0,0
2022-11-13,52310,35763.0,30363.0,29620.0,31327.0,37014.0,10558.403509369284,37379.5,1.4626848977994016,1.6698055990040541,1.4140868917115186,-0.7485107481711011,0.6631226582407952,COVID-19,1.100069870634159,0,0
2022-11-20,73573,52310.0,35763.0,30363.0,29620.0,48002.25,19436.75510255407,41151.0,1.4064805964442746,2.4838960162052666,1.668076786939586,-0.6631226582407955,0.7485107481711007,COVID-19,1.2040714605772955,1,1
2022-11-27,83407,73573.0,52310.0,35763.0,30363.0,61263.25,21387.683720231642,46879.625,1.1336631644760986,2.74699469749366,1.7078696074716588,-0.5680647467311559,0.8229838658936564,COVID-19,1.2404425771450798,1,0
2022-12-04,97897,83407.0,73573.0,52310.0,35763.0,76796.75,19139.04773623795,54282.5,1.1737264258395579,2.7373822106646535,2.278822886126154,-0.4647231720437684,0.88545602565321,COVID-19,1.2151857128050896,1,0
2022-12-11,107902,97897.0,83407.0,73573.0,52310.0,90694.75,15212.138582395148,63854.375,1.1021992502323872,2.062741349646339,2.8955576996238954,-0.35460488704253595,0.9350162426854147,COVID-19,1.1459319301640953,0,0
2022-12-18,112016,107902.0,97897.0,83407.0,73573.0,100305.5,12730.577323907784,74153.875,1.0381271894867565,1.5225150530765363,2.974109031873648,-0.2393156642875578,0.970941817426052,COVID-19,1.09011984581417,0,0
2022-12-25,108322,112016.0,107902.0,97897.0,83407.0,106534.25,6047.546630659007,83898.75,0.9670225682045422,1.2987159351133597,4.038538516790002,-0.12053668025532363,0.992708874098054,COVID-19,1.053016014882912,0,0
2023-01-01,91518,108322.0,112016.0,107902.0,97897.0,104939.5,9136.578991431188,90868.125,0.844869924853677,0.9348396784375415,0.07112892042081509,6.432490598706546e-16,1.0,COVID-19,0.9897697154115693,0,0
2023-01-08,86989,91518.0,108322.0,112016.0,107902.0,99711.25,12309.032980566011,95203.0,0.9505124674927337,0.806185242164186,-0.6673148096173427,0.12053668025532305,0.992708874098054,COVID-19,0.951482120773792,0,0
2023-01-15,46003,86989.0,91518.0,108322.0,112016.0,83208.0,26446.657520374763,91756.75,0.5288369793881985,0.41068240251392657,-1.7300390404628965,0.23931566428755774,0.970941817426052,COVID-19,0.8546377717472973,0,0
2023-01-22,30909,46003.0,86989.0,91518.0,108322.0,63854.75,30025.30235623496,85194.5,0.6718909636328065,0.2853436974945071,-1.807991784926264,0.3546048870425356,0.9350162426854148,COVID-19,0.7779399542728882,0,0
2023-01-29,22041,30909.0,46003.0,86989.0,91518.0,46485.5,28757.186064240163,75712.5,0.7130932738037464,0.24083786796040124,-1.8663682837432076,0.4647231720437685,0.8854560256532099,COVID-19,0.7371182206790576,0,0
2023-02-05,18922,22041.0,30909.0,46003.0,86989.0,29468.75,12136.18760498241,64590.0,0.8584909940565311,0.21752175562427434,-3.7629609467516296,0.5680647467311558,0.8229838658936564,COVID-19,0.7426582810297465,0,0
2023-02-12,17067,18922.0,22041.0,30909.0,46003.0,22234.75,6136.234044590814,52721.375,0.9019659655427544,0.3709975436384584,-5.81046530182953,0.6631226582407952,0.7485107481711011,COVID-19,0.8233565964048892,0,0
2023-02-19,17927,17067.0,18922.0,22041.0,30909.0,18989.25,2171.107301968744,41422.0,1.0503896408273277,0.5799928823320069,-10.821666887995313,0.7485107481711011,0.6631226582407953,COVID-19,0.8997013255012918,0,0
2023-02-26,17814,17927.0,17067.0,18922.0,22041.0,17932.5,762.0745807740859,32209.0,0.993696658671278,0.8082210426024228,-18.8892273317634,0.8229838658936564,0.5680647467311559,COVID-19,0.963000735353623,0,0
2023-03-05,18262,17814.0,17927.0,17067.0,18922.0,17767.5,504.25952312474885,23618.125,1.0251487594027169,0.9651199661769368,-10.621762712203548,0.8854560256532099,0.4647231720437686,COVID-19,0.9977893662748228,0,0
2023-03-12,19780,18262.0,17814.0,17927.0,17067.0,18445.75,909.6147078087508,20340.25,1.0831234256926952,1.1589617390285345,-0.6159201200139282,0.9350162426854148,0.35460488704253557,COVID-19,1.0249417610722347,0,0
2023-03-19,21681,19780.0,18262.0,17814.0,17927.0,19384.25,1747.0745786395796,19186.75,1.0961071789686552,1.2094048083895799,1.427672310327035,0.970941817426052,0.23931566428755804,COVID-19,1.0388358755561375,0,0
2023-03-26,23014,21681.0,19780.0,18262.0,17814.0,20684.25,2090.152207375178,19308.375,1.0614824039481574,1.2919052430672504,1.7728972018997313,0.992708874098054,0.120536680255323,COVID-19,1.0551979734906218,0,0
2023-04-02,25521,23014.0,21681.0,19780.0,18262.0,22499.0,2412.4533846954764,20133.25,1.1089336925349786,1.3974920600153324,2.2333074015770444,1.0,-1.6081226496766364e-16,COVID-19,1.0666123826504361,0,0
2023-04-09,27650,25521.0,23014.0,21681.0,19780.0,24466.5,2653.011433571668,21456.125,1.0834214960228832,1.3978766430738119,2.3346582384160235,0.992708874098054,-0.12053668025532288,COVID-19,1.0676341889447072,0,0
2023-04-16,27055,27650.0,25521.0,23014.0,21681.0,25810.0,2068.5552123794027,22597.125,0.9784810126582278,1.2478667958120013,2.1550669633189186,0.9709418174260521,-0.2393156642875575,COVID-19,1.0504458197158422,0,0
2023-04-23,29966,27055.0,27650.0,25521.0,23014.0,27548.0,1844.713708590576,24116.125,1.107595638514138,1.3020769966107586,3.171156029663542,0.9350162426854148,-0.35460488704253545,COVID-19,1.047141431938346,0,0
2023-04-30,29431,29966.0,27055.0,27650.0,25521.0,28525.5,1393.2983647907802,25512.25,0.9821464326236401,1.1532071627287332,2.8125705871968387,0.8854560256532099,-0.4647231720437685,COVID-19,1.0291356677710866,0,0
2023-05-07,29663,29431.0,29966.0,27055.0,27650.0,29028.75,1333.9421214313095,26747.625,1.0078828446196189,1.0728028933092224,2.185533354979319,0.8229838658936565,-0.5680647467311557,COVID-19,1.017813235582187,0,0
2023-05-14,31859,29663.0,29431.0,29966.0,27055.0,30229.75,1108.0353108070733,28019.875,1.074031621885851,1.1775642210312327,3.4648038402347026,0.7485107481711013,-0.663122658240795,COVID-19,1.02519755889109,0,0
2023-05-21,37720,31859.0,29663.0,29431.0,29966.0,32168.25,3859.4636393323694,29858.125,1.1839668539502182,1.2587599279183075,2.037038235022727,0.6631226582407952,-0.7485107481711012,COVID-19,1.0433012935131487,0,0
2023-05-28,41012,37720.0,31859.0,29663.0,29431.0,35063.5,5224.170269047069,31794.5,1.0872746553552493,1.3934966531888144,1.7643950187866573,0.5680647467311558,-0.8229838658936564,COVID-19,1.0736031206362542,0,0
2023-06-04,39051,41012.0,37720.0,31859.0,29663.0,37410.5,3940.2616241389355,33219.625,0.9521847264215352,1.3164885547651957,1.4799461447624886,0.46472317204376906,-0.8854560256532096,COVID-19,1.0650803466113277,0,0
2023-06-11,33125,39051.0,41012.0,37720.0,31859.0,37727.0,3352.7428572233216,33978.375,0.8482497247189572,1.0397375937725604,-0.25453040580235525,0.35460488704253584,-0.9350162426854147,COVID-19,1.0088873028392882,0,0
2023-06-18,22769,33125.0,39051.0,41012.0,37720.0,33989.25,8197.17977416595,33078.75,0.687366037735849,0.6036320254506893,-1.2577191526885843,0.23931566428755768,-0.970941817426052,COVID-19,0.9083713267463995,0,0
2023-06-25,16822,22769.0,33125.0,39051.0,41012.0,27941.75,10011.455084884616,31502.625,0.7388115420088717,0.4101726324002731,-1.4663827461169894,0.12053668025532308,-0.992708874098054,COVID-19,0.8332496447121194,0,0
2023-07-02,13551,16822.0,22769.0,33125.0,39051.0,21566.75,8598.516320660328,29488.625,0.8055522530020212,0.3470077590842744,-1.8535319822217957,-3.216245299353273e-16,-1.0,COVID-19,0.8028788359043677,0,0
2023-07-09,10511,13551.0,16822.0,22769.0,33125.0,15913.25,5246.956729063241,26820.125,0.7756623127444469,0.3173132075471698,-3.1083017913341413,-0.12053668025532283,-0.992708874098054,COVID-19,0.8016042794678814,0,0
2023-07-16,7826,10511.0,13551.0,16822.0,22769.0,12177.5,3880.3203046478043,23083.375,0.7445533250880031,0.34371294303658484,-3.9319885478847936,-0.23931566428755743,-0.9709418174260521,COVID-19,0.8148478271175548,0,0
2023-07-23,6495,7826.0,10511.0,13551.0,16822.0,9595.75,3121.343233822371,18768.75,0.829925888065423,0.38610153370586137,-3.932201325058913,-0.3546048870425356,-0.9350162426854148,COVID-19,0.8247598009219406,0,0
2023-07-30,5525,6495.0,7826.0,10511.0,13551.0,7589.25,2164.1922858182825,14578.0,0.850654349499615,0.4077189875285957,-4.183084866960911,-0.46472317204376806,-0.8854560256532101,COVID-19,0.8362840238630178,0,0
2023-08-06,5410,5525.0,6495.0,7826.0,10511.0,6314.0,1119.3215206820737,11113.625,0.9791855203619909,0.514698886880411,-5.095609165563456,-0.5680647467311556,-0.8229838658936565,COVID-19,0.8765970260788531,0,0
2023-08-13,5116,5410.0,5525.0,6495.0,7826.0,5636.5,597.6835840660422,8907.0,0.9456561922365989,0.6537183746486072,-6.342821019459532,-0.663122658240795,-0.7485107481711013,COVID-19,0.9220585291228695,0,0
2023-08-20,5194,5116.0,5410.0,5525.0,6495.0,5311.25,189.1302461145833,7453.5,1.0152462861610634,0.7996920708237105,-11.946793526779937,-0.7485107481711011,-0.6631226582407952,COVID-19,0.9596739628967278,0,0
2023-08-27,5176,5194.0,5116.0,5410.0,5525.0,5224.0,128.4056073361395,6406.625,0.9965344628417405,0.9368325791855203,-9.58388831710812,-0.8229838658936564,-0.5680647467311559,COVID-19,0.9866375312706835,0,0
2023-09-03,5491,5176.0,5194.0,5116.0,5410.0,5244.25,167.84591146454193,5779.125,1.0608578052550233,1.0149722735674676,-1.7166042204183656,-0.8854560256532096,-0.4647231720437691,COVID-19,1.00325614699875,0,0
2023-09-10,5033,5491.0,5176.0,5194.0,5116.0,5223.5,192.33044479583268,5430.0,0.9165907849207795,0.983776387802971,-2.064155783664064,-0.9350162426854147,-0.3546048870425359,COVID-19,1.0018000393327464,0,0
2023-09-17,5017,5033.0,5491.0,5176.0,5194.0,5179.25,219.782278619917,5245.25,0.9968209815219551,0.9659222179437813,-1.0385277713619794,-0.970941817426052,-0.23931566428755774,COVID-19,0.9923809366356219,0,0
2023-09-24,5189,5017.0,5033.0,5491.0,5176.0,5182.5,219.8143155681544,5203.25,1.0342834363165239,1.0025115919629057,-0.06482744294050187,-0.992708874098054,-0.12053668025532357,COVID-19,0.9933245495043869,0,0
2023-10-01,5393,5189.0,5017.0,5033.0,5491.0,5158.0,174.82562739873933,5201.125,1.0393139333204857,0.9821526133673284,1.0975221588215711,-1.0,-1.8369701987210297e-16,COVID-19,0.9995686003294025,0,0
2023-10-08,5561,5393.0,5189.0,5017.0,5033.0,5290.0,237.19190541703313,5256.75,1.0311514926756906,1.1049076097754817,1.282716623339505,-0.992708874098054,0.1205366802553232,COVID-19,1.021580683489682,0,0
2023-10-15,4691,5561.0,5393.0,5189.0,5017.0,5208.5,377.0424379235881,5193.875,0.8435533177486063,0.9350209288419374,-1.3337358064237672,-0.9709418174260521,0.23931566428755738,COVID-19,0.9948964196581268,0,0
2023-10-22,5358,4691.0,5561.0,5393.0,5189.0,5250.75,383.54171871566047,5216.625,1.1421871669153698,1.0325688957409906,0.36860396953273467,-0.9350162426854148,0.35460488704253557,COVID-19,0.9940978438501656,0,0
2023-10-29,6347,5358.0,4691.0,5561.0,5393.0,5489.25,681.9855203707501,5323.625,1.1845837999253452,1.1768959762655293,1.5005817124147434,-0.8854560256532101,0.464723172043768,COVID-19,1.022928717803472,0,0
2023-11-05,7687,6347.0,5358.0,4691.0,5561.0,6020.75,1302.6000601343567,5655.375,1.211123365369466,1.3823053407660493,1.5596690512899622,-0.822983865893657,0.5680647467311548,COVID-19,1.0774727374401447,0,0
2023-11-12,10293,7687.0,6347.0,5358.0,4691.0,7421.25,2139.204271840824,6314.875,1.3390139196045272,2.1942016627584735,1.85962839190516,-0.7485107481711011,0.6631226582407952,COVID-19,1.1639537497037904,0,0
2023-11-19,10799,10293.0,7687.0,6347.0,5358.0,8781.5,2119.7216012160725,7016.125,1.0491596230447877,2.0154908547965658,1.784609355223717,-0.6631226582407955,0.7485107481711007,COVID-19,1.1596333904558975,0,0
2023-11-26,10282,10799.0,10293.0,7687.0,6347.0,9765.25,1406.3324346192226,7627.25,0.9521251967774794,1.6199779423349614,1.8877115642424886,-0.5680647467311559,0.8229838658936564,COVID-19,1.1079411753121342,0,0
2023-12-03,9620,10282.0,10799.0,10293.0,7687.0,10248.5,483.4476876167989,8134.625,0.9356156389807431,1.251463509821777,3.072462725641106,-0.4647231720437684,0.88545602565321,COVID-19,1.0357866428810167,0,0
2023-12-10,9981,9620.0,10282.0,10799.0,10293.0,10170.5,498.8002272072757,8795.875,1.0375259875259875,0.9696881375692218,2.37595120322093,-0.35460488704253595,0.9350162426854147,COVID-19,0.9861772295431237,0,0
2023-12-17,10497,9981.0,9620.0,10282.0,10799.0,10095.0,380.87355731532466,9438.25,1.051698226630598,0.9720344476340402,2.7797939228515736,-0.2393156642875578,0.970941817426052,COVID-19,0.9932319748359698,0,0
2023-12-24,11146,10497.0,9981.0,9620.0,10282.0,10311.0,662.8730396252588,10038.125,1.0618271887205868,1.084030344290994,1.6713230645589594,-0.12053668025532363,0.992708874098054,COVID-19,1.0197243321616756,0,0
2023-12-31,10734,11146.0,10497.0,9981.0,9620.0,10589.5,486.2787266531029,10419.0,0.9630360667504038,1.1158004158004158,0.6477766407098285,6.432490598706546e-16,1.0,COVID-19,1.0262280801869836,0,0
2024-01-07,9818,10734.0,11146.0,10497.0,9981.0,10548.75,556.0871484417077,10359.625,0.9146636854853736,0.9836689710449855,-0.9739930180328135,0.12053668025532305,0.992708874098054,COVID-19,0.9991671987043738,0,0
2024-01-14,11054,9818.0,10734.0,11146.0,10497.0,10688.0,606.2826623465575,10391.5,1.1258912202077815,1.0530627798418595,1.0927246334834297,0.23931566428755774,0.970941817426052,COVID-19,0.998158802951868,0,0
2024-01-21,10792,11054.0,9818.0,10734.0,11146.0,10599.5,539.2769851032306,10455.25,0.976298172607201,0.9682397272564148,0.6244471937468979,0.3546048870425356,0.9350162426854148,COVID-19,0.9972403107224641,0,0
2024-01-28,9043,10792.0,11054.0,9818.0,10734.0,10176.75,924.1556055820341,10383.125,0.8379355077835434,0.8424632010434134,-1.4501075272448172,0.4647231720437685,0.8854560256532099,COVID-19,0.9806846230095309,0,0
2024-02-04,7918,9043.0,10792.0,11054.0,9818.0,9701.75,1486.9365319324706,10125.25,0.8755943823952228,0.806477897738847,-1.4844278505494695,0.5680647467311558,0.8229838658936564,COVID-19,0.9516386122357051,0,0
2024-02-11,8100,7918.0,9043.0,10792.0,11054.0,8963.25,1315.0962892485718,9825.625,1.0229856024248547,0.7327664193956939,-1.3121662756618366,0.6631226582407952,0.7485107481711011,COVID-19,0.9294304768764288,0,0
2024-02-18,7461,8100.0,7918.0,9043.0,10792.0,8130.5,665.0746825197122,9365.0,0.9211111111111111,0.6913454410674573,-2.8628363852108705,0.7485107481711011,0.6631226582407953,COVID-19,0.935523317997656,0,0
2024-02-25,7398,7461.0,8100.0,7918.0,9043.0,7719.25,343.6891764303358,8948.0,0.991556091676719,0.8180913413690147,-4.509888894665782,0.8229838658936564,0.5680647467311559,COVID-19,0.9644301389587798,0,0
2024-03-03,7388,7398.0,7461.0,8100.0,7918.0,7586.75,343.6891764303358,8644.25,0.9986482833198161,0.9330639050265218,-3.655192208983154,0.8854560256532099,0.4647231720437686,COVID-19,0.9821535622997694,0,0
